,tweet,sentiment
138,the captain turn off the seat belt sign so people can get up and walk around that 's not good,0
139,now what ? ! ? flight be go when i get off plane ! businestravel godenoughmother,0
140,call me chairman or call me emerald after what you do today to me you can call me a former customer,0
141,we saw one he be a useless a the tsa agent who inspect my shoe,0
142,thank you for your response !,2
143,no one receive text alert automate call anything either literally no information a to what be happen,0
144,make it ! send bloody mary 's to row 27 !,4
145,5 gate change two delay even the crew think the airline suck,0
146,thank you for your empathy there be more to this story than just the luggage but thank you for reach out,4
147,thanks jb actually as a birder i love them too they just need to be outside it should not be too hard to trap and move them,4
148,flt 5302 clt to day suppose to depart 5:51 the 6:20. still no crew schedule/contact the pilot !,0
149,to allow payment by apple pay patriarc,2
150,and now your rep just hung up on me after over 35 min on hold because i ask for a supervisor i 'm furious right now,0
151,no you 're not you 're try to book me past when i need 2 arrive but you 're still sell seat on the day i 'm try 2 travel,0
152,seriously with all the service issue you be have right now this be what you decide to tweet ? ? unbelievable,0
153,will do i also pass the website around to other passenger,2
154,clicked on the link and get this ? confuse,2
155,well we clear custom in auh i need to get to iah after i arrive in dfw is it possible to retrieve my luggage in iad ?,2
156,taylor u get ta love swa responsiveness at thehandle least huh ?,0
157,flight be cancelled flightled ca not get through to the desk and nothing show online under my reservation what do i do ?,0
158,i 'm pregnant with twin and you 're go to abandon me overnight in an airport ? no hotel ? when it 's your fault ?,0
159,thanks for prompt response another hour to enjoy vacation ! perhaps a bug in the ap a it still show 2:55,4
160,try that can not figure out where to go to get it,2
161,except all of that delayed the flight anyway,0
162,get flight 16 into the air,0
163,let me assure you my travel time be 4h2m not 5h2m timezones acuratetraveltimes 3rdtimethishashapened,0
164,thanks ! i will catch my conection ! E_SMILEY,4
165,“ our fleet 's on flek foh,2
166,i be all about the in flight artisanal cheese and wine pair,4
167,flight ua3364 be sit on tarmac for 30 min with no report a to why any input ?,0
168,sits on a throne of lie,0
169,3 flight cancelled flightled today now we have be on hold for over an hour !,0
170,late flightly you 've always be late flight ! please get back to the old swa !,0
171,my ex-boyfriend pick up my call more than you do ! cancelled flightedflight nocustomerservice americanairlines fail,0
172,i would do anything for ticket to the vegas anything i love imagine dragon so much !,4
173,thanks for your attention i 've be fly southwest for 3 year and have not have this issue in the past,4
174,never let 's me down every single flight gets delayed,0
175,me and my wife will be fly out of atlanta to vega on march 7th since could not get any out of tricities here in tn,2
176,flight ua1665 get delayed 2 hour due to a mechanical issue could use a free drink or 3 to make up for this inconvenience,0
177,dream,2
178,i 'm in line at the airport right now will you cover hotel fair or be i to sleep in the airport ?,0
179,i do not know- no one would tell me where they be come from i would guess so a that 's where we have all the change to flight,0
180,no worry you 're swamp i know just dmd back thank u,2
181,i forgot to put my tsa pre number in before i checked in it be now in my profile but will it be on my boarding pas in the be,2
182,have five people show up yet,2
183,i 've never have anything bad to say until now no love for faithful customer,0
184,hello be flight take off from airport this noon am suppose to travel on flight 376 to san antonio,2
185,i love and appreciate the fact that you guy rarely cancelled flight flight and be on time but i need a cancelled flightlation this time 🙏,4
186,connection be us2065,2
187,all good man it be not your fault that plane be have maintenance issue,4
188,while i 'm sensitive to this fact i do not believe that warrant poor service a little help amp compassion go a long way,0
189,all your online resource say we 're on time but clearly we be not this be not very information age of you,0
190,you make it hard to fly with you delayed over an hour and now the plane be turn around amp head back to the gate connection ?,0
191,your people be kind and hardworking the infrastructure you have give them be horrid masivefail failphone fail,0
192,thanks ! her 80th bday be saturday we 're have an aviation theme surprise party for her,4
193,airways reveals 'bluemanity livery travelpulse,4
194,dont bother they dont pick up the phone worst customer service go,0
195,are you ee_teaseecting any delay out of dfw tomorrow morning ?,2
196,flight 1808 be not leave at 2:45 because we have not even begin to board yet please update your website asap,0
197,what an incredibly arrogant thing to say while i sit here at o'hare wait for your incompetent airline to refuel on a,0
198,airline trouble this winter amp not get good customer service ? contact we negotiate resolution for you !,2
199,thankful for great service in newark seats fix and i be seat with my daughter ! fab land in fort myers !,4
200,feel like a true united customer stuck.on the tarmac in dc for over 2 hr unitedfail,0
201,it be cool your customer told me they do not care either it be ee_teaseected,0
202,when do today 's scavenger hunt start ? i 'm try to help my little brother win ! destinationdragons,2
203,lt lt lt lt lt -- -- -- shoddy customer service of no use whatsoever unitedairline,0
204,any option for luggage assistance on the ground at hpn ? flight 2168 delayed 2+ hour amp we will have 2 sleep kid when we land,0
205,i dm 'd you,2
206,yep—used that twice no case id number assign just try it again-get screen that say “ thank you for submit your request ”,0
207,you guy do an amaze job today ! know it ’ s hard thanks to kate appleton for all her hard work reflight booking problems my friend and me !,4
208,you really need some customer service training for your unhappy ees in the morning in chicago gate k20 at 430 chking her schd,0
209,your employee be great !,4
210,what be aa go to do to fix their utterly embarrass customer service ? you wo not even answer the dang phone !,0
211,please bring back rdu to fll direct route ! i notice it be miss start in late flight august ! the flight be always packed !,2
212,do not want me to get home,0
213,the phone line disconnect how can i be in the queue to be answer when the phone line simply disconnect when i call ?,0
214,i 'm sit on the plane too many predictable mechanical problem still onboard this be get bad,0
215,what about upgrade ?,2
216,never receive such horrible service or treat so poorly a richard p. today no excuse for attitude amp rip up our ticket !,2
217,how do i get a copy of my last flight show original time and delay ? i need it for work thanks !,2
218,can we get a honest update on departure of flite 454 been on plane with infant child,0
219,us 728 wait now a gate open back we go good maybe we can get off,2
220,how do you not do maintenance on md80 while it sits for two day ? frozen line found after it board ? come on ! fail mci,0
221,be seriously the worst i do not remember the last time i or someone i knew have a flight that be not delayed cancelled flightled etc !,0
222,wont transfer flight ticket to accompany an 11 yr old who 's active military mom have to have emergency brain surgery ? wow !,0
223,ticket counter people here be not help and just want to charge more money even after this horrible day,0
224,on a 4 seg flt yvr to zurich why would you credit all mile and but only 2 segs on full fare ?,0
225,just need to know why it be not do like it be promise it would yesterday,0
226,kudos ! and we 're do and head to warmer weather !,4
227,why be yal try to fly me to chicago when i do not live there ? ! send me home now ! bullshit as customer service,0
228,we have to stay in chicago overnight and meet up with our bag there i hope they stay put and do not get put on a flight,0
229,severely under staffed at iah,0
230,fantastic thanks ! will try and tweet a photo of the view E_SMILEY,4
231,i love my companion pass qualify 4th year holymais,4
232,say that aa do not provide in-flight wifi on the route to china base on some federal law but united do why be that ?,0
233,boarding pass now compatible with iphone passbook,2
234,what a disaster ! flight 3739 miss passenger count by 5 since it be do manually ! really ? ? ?,0
235,u suck big donkey balls !,0
236,thanks ! confirmation number just dmed appreciate any help !,4
237,i should not be make to feel like a criminal because i want to sit near my 5 year old on a flight jetblue,0
238,we 've already make other arrangement ourselves,2
239,can not add my frequent flyer number on your website can you help ?,0
240,my ticket be book 1/27 to cun does the arrival time reflect that cun be now on est time ?,2
241,there be a lot of unhappy cold people on the bridge in freeze temp for an hour not give any info,0
242,we 'd love to help shanese bryant-melton a hard-working grandmother from dc go to miami it 's on her bucket list flyitforward,2
243,want to book a multi-city fare have mile for 1of 2 flight an option to pay for 1st flight with mile +2nd with ump visa ? thanks !,2
244,when will email adres/username sign-on be available ? it 's be a while,0
245,yes i 've be wait for four hour and no one have be able to help me,0
246,i will thank you what do i do if i ca not get through and my flight on hold cancelled flights ?,2
247,flight schedule for 730pm told at 150am that flight be cancelled flightled after sit on cold plane for 2 hour,0
248,yes there be plenty of seat available so why do vicky thomas refuse to give one to a million mile flyer ?,0
249,ua63 from madrid arrive no agent mass confusion we sent to and fro by 3 ua employee maryjo be rude and unhelpful,0
250,terminal e in miami be still the bad most smelly airport ever thanks for nothing,0
251,great decision make skill flight ops iah bag make a 10 minute connection and i do not flight push early disappointed !,0
252,when i checked yesterday it look like it do did something change ?,2
253,no it weigh 45.5 and it be the only checked bag,0
254,when i check online it state status close what do this mean ? as i have yet be able to reach a live person,0
255,you ask me to dm then ignore them please assist in change to another flight today- 21 feb fra to mco avoid iad,0
256,americanairlines on approach to mex,2
257,amp finally he be told he couldnt use the front of plane restrm he be row7 though myself/others in row behind him use w/no issue,0
258,any earlier flight sap- gt mia amp mia gt new york lga on 03.03 i 'm currently book on flight 1504 and 1102,2
259,last night we wait forever at the gate because someone from corporate dispatch forgot to call the crew unfriendlyskies,0
260,seriously it 's 2015 ? ! ? ! no wifi on a 5hr flight from cle-sfo 1589 you 're the only airline without wifi,0
261,you told me you change my flight and im in the ottawa airport and ac cant find my reservation ! whats wrong with you,0
262,“ unfortunately that 's not an available option with our current system sorry guy that 's a certain fail fix it plz,0
263,do not need your apology need my bag took 56 minute from land to get it unacceptable,0
264,see photo of b787 scale model amp our pn 320008a wheel deflator specify in chapter 32 of b787 amm,2
265,fly out of stl saturday where they be ee_teaseecting ice amp snow when should we start look for travel waiver ? thanks !,2
266,thanks for get back to me but i will find other airline in the future,0
267,you know it need it on my spotify stat guiltypleasures,4
268,i will be patient in my luxurious middle seat on my next delayed flight,0
269,4 hour on tarmac in charleston and still ca not get a response after a week unacceptable,0
270,what 's happen to your customer service ? 2 cancelled flightled flight in 2 day amp an uninformed and unapologetic staff nolove cali,0
271,777 from sfo to hnl with zero entertainment system ? ? ? ! youareonyourown,0
272,3078 be overweight so you pull 2 dozen passenger off ? why not luggage ? seriously ?,0
273,disappointed that my flight back to boston from pr be cancelled flightled reboked 4 the next day delayed that one too and no compensation,0
274,have well customer service at john wayne airport,0
275,after wait for a delayed plane we sat on the plane for an hour wait for a late flight passenger that 's bs too,0
276,as it always be helps to communicate to customer,0
277,you 're customer service be unbelievably bad abysmal i 've be on the phone for well over 2hrs tonight hung up on by yr pl 3x,0
278,3rd time fly southwest in two year have another trip back to mx on october,2
279,priority baggage evidently mean it come out last,0
280,do i mention one bag be an infant car seat amp we 've be stuck with yr poor replacement on icy mtn road,0
281,just do thanks for check ! E_SMILEY,4
282,i understand that but i 'm not even be put on hold it say `` try again late flightr goodbye '',0
283,why i wo not check my carry on watched a handler throw this bag -- miss the conveyer belt -- sat there 10 min,0
284,you rerouted my bf 's flight and he 's diabetic with little insulin even though we try to change it the agent would not do it,0
285,there 's a lot of talk and no do mia-sfo on a 20+ year old plane nonewplanes old shame,0
286,flight to dca i need to change asap help ca not get through,0
287,all these change way to stick it to your premiere 1k loyal customer why make thing harder for those that loyal to you ?,0
288,ok. i know door close ~10 minute before takeoff stop tell me my flight will leave in 20 minute when we have not board,0
289,i hope not to see the same issue on my return flight tomorrow,0
290,customer service 👎,0
291,my wife sick 3yr-old-twins and i have be wait in line now for 2hrs to see an agent ! phone agent say nothing til tuesday !,0
292,ruin vacation left and right who would have thought an airline can cancelled flight ticket without tell the buyer,0
293,guys we 've get to do something about the inability to check in online for international flight that have 1/2,2
294,seriously flight delay cinci to phily due to new ground staff miss connection to man uk and now have to argue for hotel wtf,0
295,this be the line in denver to rebok due to weather issue do better,0
296,how do i redeem my pas to the admiral club ? i have 1 free visit with my barclay card membership and can i bring a companion ?,2
297,failingyourcustomer one by one,0
298,you guy continue to impress your crew mco gate 4helped our family with seat issue professional,4
299,do not charge ticket change fee do they not incur the same mysterious `` cost '' that you incur,0
300,how can you not be take call ? i need to change my flight !,0
301,flight 1735 sit fully load for over an hour air conditioning barely work E_FROWN,0
302,drop passenger with small baby and 3 infant at your san juan terminal as unload baby officer writes me ticket for 75,0
303,i continue to be amaze by the amaze customer service thank you swa !,4
304,hilarious flight attendant on vegas to detroit tonight,2
305,are you people cruel or just stupid ? why be you post my personal email on the damn internet ? have u lose your mind ? !,0
306,narrowly make standby lot of snag this trip !,0
307,thank you ! thankful felingtheluv,4
308,took a flight yesterday fron tpa-dfw-aus bag go to iah today bag go to iah-dfw and then back to iah still no bag !,0
309,now down to only one agent help a stagnant line of almost 100 customer super,0
310,do you have a pair of ticket to the show in atlanta ? ! i 'd love to go ! destinationdragons,2
311,get `` duped '' w/ a connection on 1st flight sneaky now u wo not give me a seat on an earlier flight w/ availability shameful,0
312,be really gon na hear my mouth about this bag situation,0
313,what be your phone number i ca not find who to call about a flight reservation,0
314,thanks it would be well from the gate agent at c14 in charlotte boarding flight 1791,4
315,it always a pleasure ☺️,4
316,usairways disappoints again ! cancelled flighted flight missed appointment promised refund be a lie,0
317,ca not get anyone to deal with me in person cowardly customer service i ca not be look in the eye by anyone,0
318,be there something wrong with the website ? no matter what flight i select it say it 's no longer available,0
319,after multiple attempt i be finally able to submit them late flight last night,0
320,broke the stroller my wife and baby gate checked they told her it 's not their problem calling the a list preferred line now,0
321,unfortunately no but hop i can catch one sometime in the near future !,2
322,you mean take more of my time to write you a physical letter because the fraud department do not have email or telephone right ?,0
323,trip cut 7 hr short due to flight change/masive layovers/ no peanut or crackers/ ask for h2o and receive about 2oz,0
324,can you please follow for a dm on a miss bag ?,0
325,please secure the 'fotrest shelf in business class on a330 airplane !,0
326,just receive it actually thank you !,4
327,will you cover the cost of my car service wait time ? !,0
328,now you 've cancelled flightled my flight first a priority ticket bumped and now this you 're lose customer people be furious,0
329,.handle can you connect me to a person without have to wait 2+ hour on hold ? i still have not be able to resolve the problem,0
330,they 're all reservation number and none be in hungary and my phone not work here you make it too difficult,0
331,we checked in right at 24hr mark boarding c group with kid age 6 amp 8 dnt want to be split what sld we do ?,2
332,i 'm on flight and no booze be serve 30 min in what give ? lostrevenue angryandsober bachelorpartymishap,0
333,if weather be bad would not your folk try extra hard to communicate or load bag onto flight 1320. or anything ?,0
334,4369. about 4 flight all use same gate w/buses to the plane awful boarding process hour and a half late flight,0
335,the staff be rather efficient and get u solution just freak me out a little be in limbo in the air,4
336,flight from vega to houston cancelled flighted this morning `` due to operation '' what do this mean ! ? ? ? ? thank god i woke up early today !,0
337,phl why do it take an hour to offload bag especially after take 30+ min to get a jetway to get off plane after land ?,0
338,i 'd like to apologize to the gate agent for flight aa76 i be not aware that zone 1 be after the nine other precious gem,0
339,4hrs late flightr i get a call back and immediately disconnect,0
340,wo not waive 200 fee due to neptune ca not use credit w/o pay fee couldnt get to destination to use their tic waivethefe,0
341,is it insult that offer a `` non require 50 voucher a a goodwill offering at least my bag can fly round trip,0
342,i ca not even use my return flight home because the change fee you charge be too ee_teaseensive force me to purchase a new ticket,0
343,i 'm reboked now but the line be 300 people deep,0
344,cust serv rep who be unable to change reservation in your system check in unaware of cancelled flights that i get word on night before,0
345,just give up your service be terrible if i be not force to use united on certain route i never would,0
346,can i get any kind of update on the delayed flight from boston to houston at 7:30 ? really need to be back home tonight !,0
347,i be under the impression when there be an 8 hour delay in your flight because of equipment failure compensation be offer ?,2
348,looks like 'on february 19 2015 we will open our schedule for sale through october 30 2015 know what time that will be ?,2
349,that would be appreciate just please do not send me to the same page with long form amp limited character direct email ?,0
350,do you have an email ? ?,2
351,divert and miss our connect flight was just told that my bag be on it 's way to msy if you only have people that care,0
352,need assistance line be out the door and travel with 3 kid,0
353,100 i will put together a very serious email with all the issue that arose on our vacation due to your staff i will post it here,0
354,upon enter plane to 2 stewardess `` can i have some water ? '' `` no we do not do that please take your seat,0
355,the amount of money i spent on hotel for a week bc of flight cancelled flightlation another flight do not make up for the money lose,0
356,flight 830 clt to phl i be 1st on list.someone else get spot rude employee in coach wouldt give id said he be cute red head,0
357,thanks bummer poor planning on my part i assume the card in passbook wo not work either ?,2
358,still cricket from customer service,0
359,a a 1k i 'm always hop for improvement,0
360,this merger with a cluster of inefficiency and misinformation when be it go to be do ?,0
361,much respect !,4
362,really easy for local to get down to the strip book,4
363,charlotte staff need prayer disappointed in response to mishap lot of piss off people here !,0
364,on unscheduled aircraft change please have a well system in place not worth the paid upgrade refund,0
365,from the air another miss cnxn 2day atc go on strike in belize this am now family amp i miss cnxn in ewr please see my dms,0
366,thanks for be so bad you make a two day train trip look appeal !,0
367,this be get ridiculous now we 're miss our connection,0
368,you really should clean the food and coffee stain off of the area around the seat when new passenger come aboard gross !,0
369,missing flight attendant delayed flight prime example how 1 person impact 100 's of people hnl gt iah ua252 wastedtime,0
370,call the number list ? sure ! by next friday i should get a real live person on the line,0
371,change fee same price of new ticket not logical,0
372,stop this madness rt our fleet 's on flek,2
373,ok have sent u info via dm i appreciate your help and consideration 😊,4
374,service rep do not say i be dumb just have the tone of voice like i should have know about it,0
375,im try to get my dad wheelchair and no one be answer at dules.we have try to call back on.multiple time,0
376,i 've be on hold for approach 2 hr for an issue when i change my ticket online frustrating,0
377,thank you,4
378,thanks for the effort i can get the early though i will make a complaint for a refund a i be lose one business day tomorrow,4
379,lack of communication with other office the customer amp yal never update ur system u guy be 2 establish 4 this mess,0
380,a much i have paid in fee plus hotel and food because of your change i could have flown with a more reliable airline no2jetblue,0
381,seriously i want to work on the jetblue social team rt,2
382,right ? we 're delayed so i 'm crabby E_SMILEY also why do you allow one family member to purchase earlybird check in and hold row ?,0
383,you guy suck !,0
384,thank you but the person in houston could only get me a flight rout through newark nj and i 'm go to sfo,4
385,lose bag in huston we leave for a bahamas cruise today from nola and have to buy all new stuff customer service be non existent,0
386,thx to customer service rep alex for his patient help in reflight booking problems a cancelled flighted flight and get u where we have to be tmrw !,4
387,be there not a faster way to get me to columbia sc than make me stay in clt over night after my delayed flight ?,0
388,highly disappointed in the baggage service with this merge with you guy have lose our 1st bag and now miss item,0
389,your a-list program be a complete joke ! your company do not value loyal customers.time to look for another `` go-to '' airliner,0
390,i understand the need to drain the lavatory fear freeze but why no policy on check that before boarding ? smh come on,0
391,and do not hope for me have a nicer flight some other time try to do thing right you sell me those ticket with that conetion,0
392,thank you thank you thank you ! my last attempt to win destinationdragons ticket be a success ! i could not be happier ! E_SMILEY,4
393,i hate you for this 😒,0
394,and get it together perfect combination for delay and cancelled flightlations,2
395,.handle you may `` dislike delay '' but i paid you .we have an agreement that i paid you and you get me to my destination at a certain time,0
396,try to get through to cust relation is there another to use ?,2
397,so yesterday a flight i want to chicago be on sale within my point range and today it be not any way you guy can still honor,2
398,be it possible to add a known traveler number to my ticket after flight booking problems ?,2
399,hey guy be try to get through for an hour can someone call me please ?,0
400,😐 “ our fleet 's on flek,2
401,E_FROWN thanks for the opportunity,4
402,disappointed with the miss connection from roc to slc and no reimbursement even tho friend who be a pilot say it be due to atc,0
403,lipstick on a pig still a pig ur new baggage claim sju be a disaster no chair 20 mins+ wait for baggage fail,0
404,how do my prime ticket seat get switch on aa 343 ? ! not sure what 's go on here,0
405,“ our fleet 's on flek no yal well than this,4
406,that 's great ! thank you,4
407,a usual my next flight show on time but it 's suppose to leave in 5 minute and have not board,0
